"file","category","rough_literal_fragments","lines","phase1_status","phase1_notes"
"src/lib/components/BaseStatsPanel.svelte","aria labels","6","33;43;53;63;76;86","still hardcoded",""
"src/lib/components/BaseStatsPanel.svelte","headings / display labels","2","91;8","still hardcoded",""
"src/lib/components/BaseStatsPanel.svelte","empty states","1","97","still hardcoded",""
"src/lib/components/ChangelogModal.svelte","changelog UI","4","104;129;134;136","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/ChangelogModal.svelte","aria labels","1","109","migrated to messages","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/CharacterCatalogPage.svelte","filters","9","136;144;151;159;167;202;203;204","partially migrated; remaining hardcoded","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/CharacterCatalogPage.svelte","aria labels","1","140","partially migrated; remaining hardcoded","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/CharacterCatalogPage.svelte","metadata/title/description","2","25;26","partially migrated; remaining hardcoded","Historical fragment count/lines retained; semantic message keys are counted separately."
"src/lib/components/DescriptionText.svelte","aria labels","1","21","still hardcoded",""
"src/lib/components/DetailPage.svelte","headings / display labels","10","108;208;42;66;67;68;69;70","still hardcoded",""
"src/lib/components/DetailPage.svelte","buttons","1","145","still hardcoded",""
"src/lib/components/DetailPage.svelte","aria labels","5","150;155;170;204","still hardcoded",""
"src/lib/components/DetailPage.svelte","empty states","6","161;214;233;239;247;266","still hardcoded",""
"src/lib/components/DetailPage.svelte","headings","4","225;236;244;264","still hardcoded",""
"src/lib/components/EffectExplanationSection.svelte","headings / display labels","1","16","still hardcoded",""
"src/lib/components/EidolonCard.svelte","headings","1","17","still hardcoded",""
"src/lib/components/EidolonCard.svelte","empty states","1","19","still hardcoded",""
"src/lib/components/endgame/as/ApocalypticShadowNodeSection.svelte","tooltips","1","23","still hardcoded",""
"src/lib/components/endgame/as/AsBossDossier.svelte","Endgame labels","2","15;21","still hardcoded",""
"src/lib/components/endgame/as/AsBossTraits.svelte","Endgame labels","1","11","still hardcoded",""
"src/lib/components/endgame/EndgameEnemyCard.svelte","Endgame labels","6","43;66;70;74;87;102","still hardcoded",""
"src/lib/components/endgame/EndgameEnemyCard.svelte","aria labels","2","49;90","still hardcoded",""
